gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,TICKER,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
4839,2013/3/31,FORD MOTOR CO,,2013/4/24,2013,2013,345370860,37996,F,3711,48126,11,USA,85771,193010,175048,35649,35649,29005,2681,3963,2480,1611,638,638,,211,-3851,1967,0,10,11242,7548,,,8423,39547,67809,324,367,32010,83207,17595,17595,1611,,1483,,1483,0,912,43060,31926,,0,0,3931.206,13.15,,211,-3851,1967,0,10,11242,7548,,,1483,0
4839,2013/6/30,FORD MOTOR CO,,2013/7/24,2013.25,2013.25,345370860,37996,F,3711,48126,11,USA,89528,196210,176661,37923,37923,31424,2698,3801,2143,1233,676,676,,6289,-11063,2675,0,87,20297,12712,,,8192,37878,69979,327,370,33622,83357,19179,19179,1233,,1658,,3077,0,912,45714,31199,,0,0,3939.668,15.47,,6078,-7212,708,0,77,9055,5164,,,1594,0
4839,2013/9/30,FORD MOTOR CO,,2013/10/24,2013.5,2013.5,345370860,37996,F,3711,48126,11,USA,93030,201071,180232,35775,35775,29030,2649,4096,2464,1272,637,637,,10129,-15320,4342,0,164,28946,20288,,,8799,38431,72191,329,372,35237,85111,20467,20467,1272,,1632,,4659,0,966,47795,30914,,0,0,3944.437,16.87,,3840,-4257,1667,0,77,8649,7576,,,1582,0
4839,2013/12/31,FORD MOTOR CO,,2014/1/28,2013.75,2013.75,345370860,37996,F,3711,48126,11,USA,103372,202026,175279,37570,37570,31711,2945,2914,1212,3039,598,598,,10444,-19731,8133,0,213,40543,27953,,,7708,38063,76625,331,364,34625,87309,26383,26383,3039,6504,1702,,6597,0,899,47600,23925,6400,0,0,3943.822,15.43,,315,-4411,3791,0,49,11597,7665,,,1938,0
4839,2014/3/31,FORD MOTOR CO,,2014/4/25,2014,2014,345370860,37996,F,3711,48126,11,USA,105254,207082,179944,35876,35876,30021,2705,3150,1444,989,590,590,,2220,-5662,1988,0,0,11773,8287,,,8874,38888,78116,331,365,33712,89861,26773,26773,989,,1706,,1516,0,891,48471,23703,,0,0,3954.258,15.6,,2220,-5662,1988,0,0,11773,8287,,,1516,0
4839,2014/6/30,FORD MOTOR CO,,2014/7/24,2014.25,2014.25,345370860,37996,F,3711,48126,11,USA,105927,210945,183801,37411,37411,30247,2838,4326,2584,1311,588,588,,6970,-11685,1802,0,862,22755,15925,,,9365,39924,78783,337,368,32649,92879,26776,26776,1311,,1742,,3428,0,894,51363,23559,,0,0,3878.458,17.24,,4750,-6023,-186,0,862,10982,7638,,,1912,0
4839,2014/9/30,FORD MOTOR CO,,2014/10/24,2014.5,2014.5,345370860,37996,F,3711,48126,11,USA,104896,208835,182331,34920,34920,29097,2750,3073,1165,835,576,576,,12339,-15594,2413,0,1964,31107,22504,,,9296,40801,78392,339,368,30196,91025,26136,26136,835,,1908,,5309,0,883,53058,23153,,0,0,3848.687,14.79,,5369,-3909,611,0,1102,8352,6579,,,1881,0
4839,2014/12/31,FORD MOTOR CO,,2015/1/29,2014.75,2014.75,345370860,37996,F,3711,48126,11,USA,105173,208527,183353,35870,35870,29899,3031,2940,946,52,570,570,,14507,-21124,3423,0,1964,40043,28859,,,7866,39172,79999,342,369,27892,92819,24805,24805,52,7385,1994,,7463,0,849,53343,25643,6900,0,0,3955.942,15.5,,2168,-5530,1010,0,0,8936,6355,,,2154,0
4839,2015/3/31,FORD MOTOR CO,,2015/4/28,2015,2015,345370860,37996,F,3711,48126,11,USA,109136,212374,187311,33900,33900,27372,2722,3806,1890,1153,525,525,,2413,-4960,4584,0,0,13624,8686,,,9519,38703,84073,89,116,26836,92172,24947,24947,1153,,1916,,1800,0,817,53526,24899,,0,0,3975.356,16.14,,2413,-4960,4584,0,0,13624,8686,,,1800,0
4839,2015/6/30,FORD MOTOR CO,,2015/7/28,2015.25,2015.25,345370860,37996,F,3711,48126,11,USA,110635,216045,189597,37263,37263,29326,2824,5113,3255,2160,578,578,,7623,-8950,3741,0,91,24912,19787,,,9438,39339,84187,93,114,27496,95487,26334,26334,2160,,1858,,3533,0,797,56898,25267,,0,0,3967.838,15.01,,5210,-3990,-843,0,91,11288,11101,,,1733,0
