date,tot-value,vol,sharpe,pnl-pt
1981-06-17,100189.187045,0.000019,42.611334,1.991443
1981-06-18,100145.956603,0.000020,32.459496,1.504707
1981-06-19,100100.845248,0.000020,22.142894,1.018639
1981-06-22,100267.809099,0.000079,14.734045,2.651575
1981-06-23,100285.016552,0.000010,126.418937,2.767151
1981-06-24,100183.052690,0.000050,16.044276,1.743359
1981-06-25,100202.724552,0.000010,87.723643,1.894622
1981-06-26,100153.727293,0.000020,33.012539,1.410342
1981-06-29,100161.656916,0.000010,68.894305,1.456369
1981-06-30,100093.230257,0.000031,13.126701,0.825047
1981-07-01,100025.166888,0.000031,3.489904,0.218843
1981-07-02,99831.961804,0.000086,-8.537544,-1.436224
1981-07-06,99810.128823,0.000011,-75.576364,-1.595556
1981-07-07,99794.068085,0.000011,-81.236103,-1.701917
1981-07-08,99824.452963,0.000022,-34.477780,-1.427212
1981-07-09,99829.949717,0.000011,-66.753680,-1.360402
1981-07-10,99810.445301,0.000011,-74.015135,-1.492557
1981-07-13,99822.271522,0.000000,0.000000,-1.377740
1981-07-14,99854.146725,0.000011,-56.331466,-1.113384
1981-07-15,99758.680140,0.000045,-23.069988,-1.814435
1981-07-16,99872.911445,0.000046,-12.079620,-0.941397
1981-07-17,99771.979624,0.000034,-28.805490,-1.664382
1981-07-20,99797.049224,0.000012,-76.246710,-1.460078
1981-07-21,99778.815057,0.000000,-100715464708495.940000,-1.568688
1981-07-22,99868.221973,0.000035,-16.441065,-0.921525
1981-07-23,99906.444586,0.000012,-35.076069,-0.645210
1981-07-24,99904.857461,0.000007,-59.217050,-0.647228
1981-07-27,99806.765540,0.000036,-23.474111,-1.296876
1981-07-28,99743.296572,0.000024,-46.152628,-1.700023
1981-07-29,99787.664372,0.000012,-75.841468,-1.387815
1981-07-30,99792.833331,0.000000,0.000000,-1.336559
1981-07-31,99760.045921,0.000012,-84.913292,-1.528370
1981-08-03,99795.362043,0.000012,-72.063263,-1.287031
1981-08-04,99687.353011,0.000050,-27.268037,-1.941907
1981-08-05,99687.353011,0.000000,0.000000,-1.929920
1981-08-06,99656.238404,0.000013,-117.778297,-2.108967
1981-08-07,99593.131938,0.000026,-69.020900,-2.480903
1981-08-10,99561.137865,0.000013,-147.435450,-2.659771
1981-08-11,99593.415201,0.000013,-135.953695,-2.449306
1981-08-12,99658.194733,0.000026,-57.200135,-2.046738
1981-08-13,99658.194733,0.000000,0.000000,-2.034555
1981-08-14,99625.303916,0.000013,-124.580871,-2.217137
1981-08-17,99558.622072,0.000026,-72.674187,-2.596341
1981-08-18,99558.622072,0.000000,0.000000,-2.581157
1981-08-19,99524.544046,0.000013,-154.392945,-2.764279
1981-08-20,99524.544046,0.000000,-239009629241007.940000,-2.748300
1981-08-21,99454.906442,0.000027,-87.306545,-3.132722
1981-08-24,99454.906442,0.000000,0.000000,-3.114820
1981-08-25,99454.906442,0.000000,0.000000,-3.097122
1981-08-26,99310.725191,0.000056,-53.938750,-3.894208
1981-08-27,99383.644651,0.000028,-95.670925,-3.462670
1981-08-28,99310.149711,0.000028,-106.690484,-3.853912
